date,time,text,title,index
14010524,13:10:00,"['جواد اوجی، وزیر نفت با صدور حکمی تقی ابراهیمی را به\u200cعنوان نماینده تام\u200cالاختیار وزیر در طرح تأمین مسکن کارکنان صنعت نفت منصوب کرد.', 'تصویر حکم انتصاب جواد اوجی\n\n\n']",تقی ابراهیمی نماینده تام‌الاختیار وزیر نفت در طرح تأمین مسکن کارکنان صنعت نفت شد+تصویر حکم,0
14010524,22:53:00,"['وزارت نفت دولت سیزدهم کارگروه برگزاری آزمون استخدامی این وزارتخانه را تشکیل داد.', '\xa0بر اساس اطلاعات دریافتی معاونت توسعه مدیریت و سرمایه انسانی وزارت نفت کارگروه برگزاری آزمون استخدامی نفت را تشکیل و اولین جلسه این کارگروه با حضور نمایندگان منابع انسانی شرکت های اصلی وزارت نفت در هفته اول مردادماه ۱۴۰۱ برگزار شد؛ در این جلسه در خصوص برنامه ها و کلیات فرآیند برگزاری آزمون بحث و تبادل نظر شد.(سند برگزاری این جلسه نزد نفت آنلاین می باشد)\n\xa0\n\nنفت آنلاین: برگزاری اولین جلسه رسمی در این خصوص آنهم در اولین سال فعالیت دولت سیزدهم قابل تقدیر است و به نظر می رسد با تشکیل این کارگروه وزارت نفت دولت سیزدهم عزم جدی برای عملی کردن وعده خود در خصوص برگزاری آزمون استخدامی نفت دارد.\n\n\xa0\n\nلازم به ذکر است آخرین آزمون استخدامی وزارت نفت مربوط به سال ۱۳۹۲ بود و در دوره وزارت نفت زنگنه هرگز آزمون استخدامی نفت برگزار نشده بود و با روی کار آمدن دولت سیزدهم فارغ التحصیلان دانشگاهی امیدوارند بتوانند جهت استخدام در این وزارتخانه با هم به رقابت بپردازند.\xa0\n\n\xa0\n\nهمچنین وزارت نفت اردیبهشت\u200cماه امسال\u200c نیز اعلام کرده بود: بر اساس برنامه\u200cریزی\u200cهای موجود در آزمون\u200c استخدامی سال ۱۴۰۱ برای کارکنان غیررسمی صنعت نفت در صورت موافقت سازمان اداری و استخدامی کشور امتیازهایی بر اساس سابقه کار یا شرایط سنی آنها در نظر گرفته خواهد شد تا این نیروها بتوانند در آزمون عمومی شرکت و در صورت موفقیت در مراحل مختلف استخدام رسمی شوند.\n\n\n🔴🔴آخرین اخبار موثق برگزاری آزمون استخدامی نفت در دولت سیزدهم را در پیج اینستاگرام نفت.آنلاین دنبال کنید/ عضویت از طریق لینک زیر:\n\nhttp://instagram.com/naftonline\n']",تشکیل کارگروهی جهت برگزاری آزمون استخدامی نفت در دولت سیزدهم,0
14010524,18:42:00,"['جواد اوجی وزیر نفت به سوال یک خبرنگار در خصوص احتمال واردات بنزین پاسخ داد.', '']",فیلم | واکنش وزیر نفت به احتمال واردات بنزین,0
14010518,12:08:00,"['پس از ماجرای بنزین ۲۷سنتی و تأیید و تکذیب\u200cهای متعدد در پی آن، چند سؤال ساده از وزارت نفت باقی مانده است که این سؤالات را مطرح می شوند.', 'به گزارش نفت آنلاین ، حدود یک\u200cهفته پیش بود که خبرگزاری رسمی دولت به\u200cنقل از آمار گمرک اعلام کرد ""ایران در فروردین ماه سال جاری 116 میلیون لیتر بنزین معادل 32 میلیون دلار صادر کرده است."" با توجه به این آمار، بنزین صادراتی ایران در فروردین ماه به\u200cطور متوسط 27.6 سنت در لیتر قیمت داشت.\n\nبعد از آن، یکی از کارشناسان اقتصادی فعال در سازمان برنامه\u200cوبودجه در توییتی اعلام کرد که متوسط قیمت بنزین صادراتی ایران در سه\u200cماهه بهار 1401 معادل 27 سنت دلار در هر لیتر بوده است.\n\nرسانه\u200cهای مختلف با استناد به آمار سازمان\u200cهایی چون گمرک، اخباری مشابه از صادرات بنزین 27سنتی در بهار منتشر کردند، درحالی که قیمت بنزین در منطقه در بهار امسال براساس داده\u200cهای نشریه پلتس، حدود 80 سنت دلار در لیتر بود و شائبه ارزان\u200cفروشی بنزین در شرایطی که ایران در آستانه واردات بنزین به\u200cخاطر پیشی گرفتن مصرف از تولید قرار دارد، مطرح شد.\n\nوزارت نفت با انتشار خبری اعلام کرد که بنزین 27سنتی توسط وزارت نفت صادر نشده و کار بخش خصوصی بوده است، انتشار این خبر از سوی وزارت نفت، سؤالات\xa0جدیدی به\u200cدنبال داشت.\n\nطبق مصوبه هیئت وزیران در آبان\u200cماه سال 97، ""صادرات فرآورده\u200cهای اصلی (نفت\u200cکوره، بنزین، نفت\u200cگاز، گاز مایع، نفت سفید و سوخت هوایی) فقط از طریق شرکت ملی نفت ایران مجاز است.""\n\nذیل این بند قانونی، تبصره\u200cای آمده است که برمبنای آن ""صادرات فرآورده\u200cهای اصلی به\u200cهرشکل توسط شرکت ملی پالایش و پخش فرآورده\u200cهای نفتی ایران، شرکت ملی پخش فرآورده\u200cهای نفتی ایران و پالایشگاه\u200cهای کوچک، منوط به کسب مجوز از وزارت نفت است.""\n\nازاین\u200cرو، طبق آنچه وزارت نفت در اطلاعیه\u200cای که یازدهم مردادماه سال جاری منتشر شده است اعلام کرده، این وزارتخانه سوخت باارزش میعانات گازی را به\u200cقیمت 95 درصد نرخ فوب، به پالایشگاه\u200cهایی کوچک فروخته است و این پالایشگاه\u200cها، میعانات گازی را به بنزینی بی\u200cکیفیت که حتی امکان استفاده از آن داخل کشور فراهم نیست تبدیل کرده\u200cاند و به\u200cدلیل بی\u200cکیفیت بودن و غیراستاندارد بودن این سوخت، آن را ارزان\u200cتر از قیمت منطقه صادر کرده\u200cاند.\n\nاین\u200cموضوع درحالی است که طبق اعلام سخنگوی گمرک، ایران از ابتدای سال تا پایان تیرماه، 366هزار تن بنزین به\u200cارزش 133میلیون دلار به چهار کشور صادر کرده است. بر اساس این آمار، متوسط قیمت بنزین صادراتی ایران در 4 ماه نخست سال نیز حدود 27 سنت در لیتر (26.9 سنت) بوده است.\n\nدر سال جاری تنها محموله\u200c بنزینی که به\u200cصورت رسمی در بورس انرژی ایران عرضه شده، در تاریخ 24 فروردین ماه سال جاری بوده که هر لیتر آن به\u200cقیمت 70 سنت فروخته شده است.\n\nحال چند سؤال ساده از وزارت نفت باقی می\u200cماند:\n\n1. چرا سوخت باارزش میعانات گازی، تحویل پالایشگاه\u200cهای کوچکی می\u200cشود که این سوخت باارزش را تبدیل به بنزینی بی\u200cکیفیت و غیراستاندارد کنند؟ این اقدام که بر اساس اطلاعیه وزارت نفت و اظهارات سخنگوی گمرک درخصوص آمار چهارماهه صادرات بنزین، در طول سال جاری ادامه\u200cدار بوده است، با چه هدفی صورت می\u200cگیرد؟\n\n2. چرا وزارت نفت به پالایشگاه\u200cهایی که نمی\u200cتوانند از یک سوخت باکیفیت، بنزینی باکیفیت تولید کنند، مجوز تخصیص خوراک و صادرات بنزین داده است؟\n\n3. در سال 99 اعلام شده بود که پالایشگاه ستاره خلیج فارس با دریافت خوراک روزانه 420 هزار بشکه درحال فعالیت است و قرار است خوراک این پالایشگاه میعانات گازی به 480 هزار بشکه در روز برسد. در حالی که در این پالایشگاه 60 درصد خوراک دریافتی میعانات گازی به بنزین باکیفیت یورو5 تبدیل می\u200cشود، قرار بود با افزایش ظرفیت دریافت خوراک، تولید بنزین این پالایشگاه از 45 میلیون لیتر در روز به 54 میلیون لیتر در روز برسد. وزارت نفت رسماً اعلام کند؛ ظرفیت فعلی دریافت خوراک و تولید بنزین پالایشگاه ستاره خلیج فارس چقدر است؟ در واقع، چرا وزارت نفت به\u200cجای تخصیص خوراک بیشتر به این پالایشگاه و تولید بنزین یورو5، آن را به پالایشگاه\u200cهای کوچکی می\u200cدهد که بنزینی بدون استاندارد تولید کنند؟\n\n4. سرنوشت طرح فراگیر پالایشی سیراف که قرار بود 8 پالایشگاه 60هزاربشکه\u200cای میعانات گازی احداث شود، چه شد؟ آیا پس از تأخیرات متعدد در اجرای این طرح در دولت گذشته، اجرای آن در دولت فعلی نیز از دستور کار خارج شده است که عملاً تولید بنزین بی\u200cکیفیت در پالایشگاه\u200cهای کوچک، جایگزین هدف تولید بنزین باکیفیت در طرح سیراف شده است؟\n\nپس از ماجرای بنزین 27سنتی و تأیید و تکذیب\u200cهای متعدد در پی آن، این چند سؤال ساده مطرح شده اند تا\xa0وزارت نفت و شرکـت\u200cهای زیرمجموعه آن، حداقل در قالب ارسال جوابیه یا صدور اطلاعیه، به این سؤالات پاسخ دهند.\n\xa0']",۴ سؤال از وزارت نفت در خصوص ماجرای بنزین ۲۷سنتی,0
14010518,10:33:00,"['شهید وحید نومی گلزار (متولد ۱۳۶۱ /تبریز) از کارکنان شرکت های زیرمجموعه وزارت نفت (پالایش و پخش) بود که به عنوان بسیجی و کاملاً داوطلبانه برای دفاع از حرمین عازم کشورهای سوریه و عراق شد؛این شهید عزیز در دوم آبان ماه سال ۹۴ و در دفاع از حرم امامین عسگرین، مصادف با ظهر عاشورا در «بیجی» عراق به فیض شهادت نائل آمد.', '◀️پ\u200cن: در ظهر عاشورای ۱۴۰۱ گرامی \u200cمیداریم یاد و خاطره همه شهدای مدافع حرم ، بالاخص شهید عزیز وحید نومی گلزار را با ذکر فاتحه و صلوات بر محمد و آل محمد؛\n\n\n🔴🔴آخرین اخبار موثق برگزاری آزمون استخدامی نفت در دولت سیزدهم را در پیج اینستاگرام نفت.آنلاین دنبال کنید/ عضویت از طریق لینک زیر:\nhttp://instagram.com/naftonline\n']",کارمند شرکت نفتی که در ظهر عاشورا به شهادت رسید,0
14010517,17:38:00,"['جواد اوجی: امیدوارم دولت\u200cهای بزرگ غربی درک درستی از این حساسیت\u200cها داشته باشند و در مسیر تحقق امنیت انرژی جهان، رفتاری منطقی در پیش بگیرند.', 'وزیر نفت در ادامه گفت: زمستان امسال برای اروپایی\u200cها و برای همه جهان بسیار مهم است و باید از هم اکنون به فکر باشند.']",هشدار جواد اوجی وزیر نفت به اروپایی‌ها,3
14010517,21:53:00,"['مهمترین اخبار کوتاه نفت\u200cآنلاین در بخش زیر قابل مشاهده است.', '◀️سی\u200cویکمین نشست اوپک پلاس عصر امروز برگزار شد.\n\xa0\n\n◀️قیمت سبد نفتی اوپک دیروز (سه\u200cشنبه، ۱۱ مردادماه) بیش از چهار دلار کاهش یافت.\n\n\xa0\n\n◀️۲۳ کشور عضو اوپک پلاس در سی\u200cویکمین نشست خود، بر سر افزایش ۱۰۰ هزار بشکه\u200cای تولید روزانه برای ماه سپتامبر (شهریورماه - مهرماه) به توافق رسیدند.\n\n\xa0\n\n◀️شرکت مادرتخصصی ملی پالایش و پخش فرآورده\u200cهای نفتی ایران با ابلاغ دولت به فهرست سازمان\u200cهای توسعه\u200cای اضافه شد.\n\n\xa0\n\n◀️جواد اوجی:اروپایی\u200cها به فکر زمستان امسال باشند.\n\n\xa0\n\n◀️شرکت گاز: بیش از ۱۷۰ فارغ\u200cالتحصیل گروه الف دانشگاه نفت در مجتمع پارس جنوبی جذب می\u200cشوند.\n\n\xa0\n\n◀️متخصصان نفتی موفق به ساخت شیرآلات MOV با بزرگ\u200cترین سایز در طرح ملی گوره - جاسک شدند.\n\n\xa0\n\n◀️نفت مرکزی: آخرین حلقه چاه از طرح حفظ، نگهداشت و افزایش تولید میدان\u200c دانان تکمیل شد.\n\n\xa0\n\n◀️ملی حفاری از ساخت کمربند نگهدارنده دکلبان دستگاه حفاری در این شرکت خبر داد.\n\n\xa0\n\n◀️متخصصین NISOC یک دستگاه کامیون \u200cچاه\u200cپیمایی را تعمیر و بازسازی کردند.\n']",اخبار کوتاه نفت‌آنلاین از آخرین تحولات نفتی,3
14010512,11:41:00,"['اعضای مجمع تشخیص مصلحت نظام در نشستی که با حضور وزیر نفت برگزار شد مقرر کردند خام\u200cفروشی نفت و گاز با توسعه زنجیره ارزش کاهش یابد و ظرفیت پتروپالایشگاهی کشور به حداقل ۳ میلیون بشکه در روز در سال\u200cهای برنامه هفتم توسعه برسد.', '']",ظرفیت پتروپالایشی کشور در سال‌های برنامه هفتم توسعه به حداقل روزانه ۳ میلیون بشکه می‌رسد؟,1
14010512,16:07:00,"['مهمترین اخبار کوتاه نفت\u200cآنلاین در بخش زیر قابل مشاهده می باشد.', '◀️وزیر نفت در پیامی درگذشت عادل آذر را تسلیت گفت.\n\xa0\n\n◀️احتمال تکرار مونسون خاک در خوزستان: هواشناسی هشدار داد؛ پرسنل عملیاتی مواظب باشند.\n\n\xa0\n\n◀️رئیس دستگاه ۸۶ فتح ملی حفاری : در مناطق عملیاتی جنوب عملاً با آهن داغ کار می\u200cکنیم و اینجا از کولر خنک و استراحت خبری نیست.\n\n\xa0\n\n◀️متخصصین نفتخیز جنوب يك دستگاه کامیون چاه پیمایی را تعمير و بازسازي کردند.\n\n\xa0\n\n◀️ انتقاد کارکنان نفتخیز جنوب از خدمات رفاهی: امکان رزرو غذاي باشگاه های غذاخوری نیست و سهمیه اکثر کارکنان هر ماه می\u200cسوزد!\n\n\xa0\n\n◀️ پس از انتشار خبر نفت آنلاین در خصوص عدم پرداخت حقوق و مزایای بیش از ۲ هزار نفر از پرسنل خدمات غذایی NIDC ، ملی حفاری امروز در این خصوص تشکیل جلسه داد.\n\n\xa0\n\n◀️دستگاه حفاری سنگین ۴۳ فتح ملی حفاری پس از تعمیرات و روزآمدسازی \u200cدر چرخه عملیات قرار گرفت.\n\n\xa0\n\n◀️حسنوند رئیس کمیسیون انرژی خواستار ارائه گزارش مالی و عملکردی شرکت ملی نفت ایران به مجلس با قید فوریت شد.\n\n\xa0\n\n◀️ادعای فاطمی امین وزیر صمت: اقتصاد کشور از نفت جدا شده است!\n\n\xa0\n\n◀️نمایندگان مجلس با دو فوریت لایحه تغییر محل تأمین منابع قیر رایگان موافقت کردند.\n\n\xa0\n\n◀️ساخالین انرژی از خریداران ال\u200cان\u200cجی خواست که از طریق گشایش حساب در بانک\u200cهای روسیه هزینه محموله\u200cهای دریافتی را به روبل بپردازند.\n\n\xa0\n\n◀️صادرات گاز روسیه به لتونی متوقف شد.\n\n\xa0\n\n◀️رویترز: بحران کمبود سوخت به مجارستان رسید.\n\n\xa0\n\n◀️بحران گازی اروپا جدی تر شد: روسیه از روز چهارشنبه هفته گذشته صادرات گاز به اروپا را بار دیگر کاهش داد.\n\n\xa0\n\n◀️وزیر نفت سوریه: آماده انتقال گاز از مصر به لبنان هستیم.\n']",از  واکنش ملی حفاری به خبر نفت آنلاین تا انتقاد از خدمات رفاهی در یک شرکت نفتی,1
14010507,13:56:00,"['محمد رشیدی؛ عضو هیئت رئیسه مجلس :سوال ملی مالک شریعتی نیاسر نماینده تهران و تعداد دیگری از نمایندگان از وزیر نفت در خصوص اینکه چرا وزارت نفت به تکالیف قانونی خود طبق بند ه تبصره یک قانون بودجه ۱۴۰۰ مبنی بر ساماندهی و توزیع گاز مایع برای خانوارها و خودروها عمل نمی\u200cکند اعلام وصول شد.', '']",جزئیات سوال ملی مجلس از وزیر نفت,3
