date,time,text,title,index
13981010,13:52:00,"به گزارش ,تجارت‌نیوز, ، شورای عالی پول و اعتبار در آخرین جلسه خود، افزایش سقف تسهیلات بانک ,مسکن, را به تصویب رساندند؛ بر اساس مصوبه شورای پول و اعتبار، سقف تسهیلات ساخت و خرید مسکن از محل اوراق گواهی حق تقدم استفاده از تسهیلات مسکن افزایش می‌یابد و هر زوج قادر است که حداکثر ۲۴۰ میلیون تومان وام بگیرند.,اما نکته‌ای که در این خصوص مطرح می‌شود، این است که چگونه می‌توان 240 میلیون تومان تسهیلات را دریافت کرد. همواره دو راه برای دریافت تسهیلات مسکن وجود دارد؛ سپرده‌گذاری در بانک یا خرید اوراق تسهیلات مسکن که در ,بورس, با نماد تسه خرید و فروش می‌شود. اما برای خرید اوراق چه میزان باید هزینه کرد؟,درحال حاضر امتیاز تسهیلات آذر 98 با نماد «تسه 9809» با 1.8 درصد رشد نسبت به دیروز، 40700 تومان قیمت خورد. این اوراق در ابتدای گشایش بازار در صبح امروز و همزمان با انتشار خبر افزایش سقف تسهیلات بانک مسکن، صف خرید را نیز تجربه و شاهد رشد پنج درصدی نیز بود، اما در ادامه فشار تقاضا روی آن کاهش یافت در عدد ذکر شده به پایان رسید.,بنابراین با احتساب این نکته که در ازای هر برگ اوراق، 500 هزار تومان وام می‌توان اخذ کرد، برای دریافت 240 میلیون تومان باید 480 برگه را خرید. در مجموع اگر هر زوج درصدد دریافت این میزان وام باشند و اگر در بین تمامی اوراق تسه، نماد  «تسه 9809» را انتخاب کنند، باید 19 میلیون و 536 هزار تومان بپردازند.","
خرید 240 میلیون تومان اوراق وام مسکن چقدر پول می‌خواهد؟",1
13981010,15:15:00,"به گزارش ,تجارت‌نیوز, ، بازار سهام در آخرین روز کاری هفته پرتلاطم جاری، کار خود را در محدوده منفی به پایان رساند؛ شاخص کل ,بورس, با افتی 1170 واحدی در کانال 361 هزار متوقف شد، اما شاخص کل هم وزن رشدی 716 واحدی را تجربه کرد و در کانال 114 هزار متوقف شد.,همچنین گروه خودرو، در رتبه پربازده‌ترین و برترین صنعت امروز قرار گرفت؛ در عین حال نمادهای فولاد، کگل و کچاد بیشترین تاثیر را بر شاخص کل گذاشتند.","
بورس آخرین روز هفته را نزولی به پایان رساند / خودرویی‌ها بهترین صنعت چهارشنبه",1
13981007,07:34:00,"به گزارش ,تجارت‌نیوز,، اما نادیده گرفتن ریسک‌ها نشان از نبود آنها نیست، بلکه می‌تواند نشانه تفکر اشتباه حاکم بر معاملات باشد. در کنار ریسک‌های پیش روی نوسان قیمتی هر سهام، تهدید بزرگ‌تری نیز وجود دارد که تبعات آن می‌تواند دامن‌گیر مقام ناظر و حتی اقتصاد کشور شود. به این معنا که بورس‌بازانی که صرفا خود را مالک سود می‌دانند، هنگام زیان به دنبال مقصرهای بیرونی باشند.,شاخص کل بورس تهران در هفته گذشته رشد بیش از سه درصدی را تجربه کرد. شاخص کل هم‌وزن نیز در این هفته رشد تقریبا مشابهی را به ثبت رساند. در هفته گذشته به لزوم رشد بیشتر نمادهای بزرگ یا از سوی دیگر نزول سهام کوچک‌تر بازار به منظور بازگشت تعادل قیمت‌های نسبی سهام اشاره شده بود. بزرگان بازار مسیر صعودی را در پیش گرفتند تا بتوانند بخشی از عقب‌ماندگی خود را از کوچک‌ترها جبران کنند اما از سوی دیگر همچنان سهام شرکت‌ها و صنایع کوچک‌تر نیز از ادامه صعود دست نکشیدند. در این خصوص رالی صعودی نمادهای زیرمجموعه بازار پایه نگرانی روزافزونی را برای کل بازار سرمایه ایجاد کرده است.,سهامدارانی که در شرایط کنونی از صعود بی‌پروای سهام سرمستند کافی است که حباب قیمتی سهام در این بازار و همچنین سایر نمادهای کوچک‌تر متلاشی شود تا پایکوبی کنونی سهامداران به جنجال و اعتراض تبدیل می‌شود. تجربه از بورس تهران نشان داده سهامداران و معامله‌گران سهام کسب سود و بازدهی را حاصل خرد و دانش خود می‌دانند و زیان را ناشی از هزاران عامل بیرونی مانند سازمان بورس، دولت و شانس مطرح می‌کنند. فرار از پذیرش مسوولیت زیان یکی از مواردی است که علاوه بر ضربه به بدنه بازار سرمایه، عمده زیان را متوجه معامله‌گر می‌سازد.,به‌صورت مشخص بازار سهام دوره‌ای را پشت سر می‌گذارد که هر معامله‌گری که دانش کمتری نسبت به معاملات و معامله‌گری و متغیرهای اثرگذار بنیادی و حتی بهانه‌های نوسان قیمت داشته احتمالا سود بیشتری را کسب کرده است. علت این موضوع نیز عدم لحاظ ریسک در نگاه معامله‌گران است. این دوره با حمایت متغیرهای کلان اقتصادی همراه شده و چشم‌انداز ادامه بی‌ثباتی اقتصادی نیز خود دلیلی شده تا معامله‌گران بیش از همیشه شجاع باشند و بدون توجه به ریسک‌های موجود به خرید سهام بپردازند. این در حالی است که برخلاف نگاه حاکم بر بازار اتفاقا در مسیر صعودی معامله‌گر باید نیم‌نگاهی به اخبار حامی روند صعودی داشته و تمرکز خود را بر ریسک‌های پیش روی سهام معطوف کند تا هر چه سود کرده در نزول احتمالی سهام دود نشود.,ریسک‌های کنونی بازار سهام از سوی کارشناسان مختلف مطرح شده است. یکی از این موارد شاید نامشخص بودن مسیر دلار در سه ماه پایانی سال است که با فروکش اثر روانی احتمال افت دوباره ارز به کانال پایین‌تر وجود دارد. در چند سال اخیر مسیر زمستانی دلار در هفته‌های نخست دی رقم خورده است. نگرانی زیادی درخصوص وضعیت متغیرهای پولی مانند حجم نقدینگی وجود داشت که همچنان بررسی علل رشد نقدینگی از موارد بااهمیت برای تشخیص مسیر آتی بازارها است. برخی از شنیده‌ها از این موضوع حکایت دارند که علت رشد محسوس نقدینگی در تابستان استقراض دولت نیست.,در این میان مواردی مانند افزایش دارایی‌های خارجی بانک مرکزی دلیلی برای رشد پایه پولی مطرح می‌شود. سناریوی قابل‌تامل برای رشد پرشتاب نقدینگی در تابستان هجوم حجم عظیمی از نقدینگی به سهام عنوان کرد در عین حالی‌که فرصتی برای اقتصاد کشور است می‌تواند به ریسک بزرگ تبدیل شود. به این ترتیب در دوره‌ای (تابستان) که دلار رویه نزولی و اصلاحی را در پیش گرفته بود و سایر بازارها نیز بستر جذب نقدینگی نداشته‌اند، این سناریو نیز مطرح است که اوج‌گیری ارزش معاملات بورس به بیش از هزار و در ادامه دو هزار و در برخی از روزها ۳ هزار میلیارد تومان می‌تواند اثر خود را در رشد حجم نقدینگی کشور منعکس کرده باشد.,بر این اساس از ریسک‌هایی که در شرایط کنونی حبابی شدن سهام می‌تواند برای اقتصاد کشور به دنبال داشته باشد رشد افسارگسیخته نقدینگی در این ماه‌ها به واسطه سهام باشد که در ادامه رشد این‌چنینی نقدینگی می‌تواند اثر مخرب خود را در التهاب اقتصاد منعکس کند.,بر این اساس ریسک‌های کنونی سهام تنها متوجه بازار، معامله‌گر یا مقام ناظر نیست بلکه می‌تواند اثرات سوء خود را در اقتصاد کشور نیز منعکس کند. یکی از ریسک‌های اصلی سهام در شرایط کنونی حباب واضح قیمتی در برخی از نمادها یا بازار پایه است که سیگنال‌های نگران‌کننده‌ای را به دنبال دارد. اگر حباب واضح قیمتی سهام در برخی از شرکت‌های سرمایه‌گذاری همچنان خریدار دارد این موضوع از عدم آگاهی اولیه برای خرید و فروش سهام خبر می‌دهد. سرمستی کنونی از صعود حبابی سهام (البته نه همه بازار) که اگر در نتیجه عدم آگاهی باشد و نه از روی نیت سفته‌بازانه به‌صورت واضح می‌تواند کل بازار را به خود درگیر کند.,بر این اساس بار دیگر تاکید می‌شود که هر چه زودتر از ابزارهای بازاری مانند فروش استقراضی برای جهت‌دهی به این موارد استفاده شود. در غیر این‌صورت رونق ظاهری بورس روی موج عدم‌آگاهی اگر در کنار رشد حجم نقدینگی گذاشته شود می‌تواند به زیان همه تمام شود.,منبع: ,دنیای اقتصاد","
سهامداران بورس با چه ریسک‌هایی مواجه هستند؟",1
13981007,09:18:00,"به گزارش ,تجارت‌نیوز,، حدود یک ربع اول شروع به کار فعالیت بورس در روز شنبه هفتم دی ماه همراه با رشد بیش از دو هزار و 600 واحدی بود.,این رشد 0.74 درصدی در این دفایق ابتدایی شاخص بازار سهام باعث شد که شاخص از مرز 363 هزار و 766 واحد عبور کند.,تا این لحظه بیشترین تاثیر را رمپنا، وبملت و حکشتی در شاخص بازار سهام داشته‌اند., ","
اولین تغییرات بورس در هفته جاری / رشد فزاینده در شروع به کار بازار",1
13981017,12:42:00,"به گزارش ,تجارت‌نیوز,، شاخص بورس امروز با رشدی بیش از 5818 واحدی از 375 هزار و 548 واحد عبور کرد.,همچنین ارزش معاملات بازار سهام در امروز به حدود سه هزار میلیارد تومان رسید تا بدین ترتیب ارزش این بازار از 1368 هزار میلیارد تومان عبور کند. شاخص بورس نیز امروز با 1.5 درصد افزایش به 375 هزار و 548 واحد رسید.,سه نماد فارس، شبندر و رمپنا هم بیشترین تاثیر را در رشد شاخص بورس داشتند.","
3 هزار میلیارد تومان معامله در یک روز / شاخص بورس 1.5 درصد دیگر قد کشید",0
13981007,10:18:00,"به گزارش ,تجارت‌نیوز, ، بازار سهام پس از یک هفته که روند صعودی خود را حفظ کرد، از دقایق ابتدای روز جاری وارد روند منفی شد؛ شاخص کل ,بورس, در یک ساعت ابتدایی آغاز معاملات، با بیش از 1400 واحد کاهش در کانال 360 هزار قرار گرفت.,شاخص کل هم وزن نیز اما روندی متفاوت را در پیش گرفته و در این دقایق بیش از 500 واحد افزایش را پشت سر می‌گذارد.,ریزش فلزی‌ها و معدنی‌ها، بیشترین تاثیر را در روند نزولی بازار برجای گذاشته است؛ در همین راستا، فولاد، کگل، کچاد، تاپیکو و فملی بیشترین تاثیر منفی را بر شاخص کل داشته‌اند، در عین حال گروه‌های خودرو، شیمیایی و قند و شکر برترین صنایع یک ساعت ابتدایی شدند.","
فلزی‌ها بازار را منفی کردند / خودرو و قند برترین صنایع گشایش بازار",1
13981017,14:05:00,"به گزارش ,تجارت‌نیوز,، اخبار مربوط به تجدید ارزیابی برای سهامداران معمولا اهمیت قابل توجهی دارد. اخیرا مسائل مربوط به تجدید ارزیابی گروه خودرویی‌ها مورد توجه سهامداران قرار گرفته بود و پس از آن، درباره گروه زراعتی‌ها هم این مساله مطرح بود.,در این مورد حسام‌الدین جعفری، کارشناس و تحلیلگر بازار سرمایه و معاون کارگزاری بانک ملی به تجارت‌نیوز گفته بود: «شرکت زپارس به دلیل اینکه آب، زمین و ماشین‌ آلات قابل توجهی دارد، توجه زیادی را به خود جلب کرده است؛ در همین راستا، سایر شرکت‌های کشت و زراعت نیز همانند زپارس، دارایی‌های فراوانی دارند و فعالان بازار بیش از سودآوری، به این نکات توجه دارد و مساله تجدید ارزیابی دارایی‌ها را در این گروه دنبال می‌کنند.»,به همین دلیل امروز خبری درباره تجدید ارزیابی دارایی‌های شرکت‌های بورس مورد توجه سهامداران در شبکه‌های اجتماعی قرار گرفته است.,دقایقی پیش اعلام شده آیین نامه اجرایی افزایش سرمایه از محل مازاد تجدید ارزیابی دارایی‌ها در جلسه اصلی کمیسیون اقتصاد دولت به تصویب رسید. احتمالا این خبر امید سهامداران برای حفظ روند صعودی بورس را افزایش دهد.","
خبری که احتمالا بورس را متاثر کند",0
13981019,15:04:00,"به گزارش ,تجارت‌نیوز,، چهل و چهارمین جلسه شورای عالی هماهنگی اقتصادی روز شنبه به ریاست حجت الاسلام و المسلمین دکتر حسن روحانی رئیس جمهور و با حضور روسای قوای مقننه و قضائیه و دیگر اعضای شورا تشکیل شد.,در آغاز جلسه، با گرامیداشت یاد و مجاهدت های سردار شهید سلیمانی، از اعلام موضع معنادار و وحدت‌آفرین اقشار مختلف مردم در محکوم کردن جنایت دولت آمریکا قدردانی شد و بر ادامه راه استقامت در مسیر عزت و استقلال و پیشرفت کشور تاکید گردید.,در این جلسه، مهمترین مسائل و تحولات اقتصادی کشور مورد بحث و بررسی قرار گرفت.,رئیس کل بانک مرکزی با ارائه گزارشی از اقدامات انجام شده برای حفظ ثبات و مدیریت بازار پول و ارز کشور، برنامه‌های در دست اجرای این بانک را برای تامین نیازهای واقعی مردم و واحدهای تولیدی تشریح نمود.,همچنین وزیر امور اقتصادی و دارائی ضمن ارائه گزارشی از رشد 110 درصدی حجم بازار سرمایه در سال جاری، اقدامات سازمان بورس و اوراق بهادار برای تامین ثبات و رشد متناسب با تولید کشور را برشمرد.,شورایعالی با ارزیابی مثبت از حضور فعال صندوق تثبیت بازار سرمایه، اجرای کامل مصوبه قانونی مربوط به سپرده‌گذاری صندوق توسعه ملی در این صندوق را مورد تاکید قرار داد.,در ادامه جلسه، بانک مرکزی، گزارشی از اجرای مصوبه قبلی شورایعالی در مورد چک‌های تضمینی بانکی در طول سال گذشته ارائه نمود شورا با توجه به آثار مثبت آن در افزایش شفافیت بانکی و مقابله با پولشوئی، که موجب شده است بیش از 98 درصد چک‌های تضمینی صادر شده، توسط گیرندگان در فرصت معین وصول گردد؛ ضمن تاکید بر ضرورت تسریع در بررسی لایحه ارائه شده به مجلس، مصوبه قبلی را برای یک سال دیگر تمدید نمود.,همچنین سازمان برنامه و بودجه در ادامه پیشنهادهای خود برای اصلاح ساختاری بودجه، طرح مربوط به مولدسازی دارایی‌های دولت را ارائه نمود و پس از بحث و بررسی، ادامه بررسی‌ها در این مورد، به جلسه آینده موکول شد.","
مباحث ارزی و بورسی در جلسه شورای عالی هماهنگی اقتصادی سران قوا",3
13980930,12:00:00,"به گزارش ,تجارت‌نیوز،, در هفته پایانی آذر ماه سال جاری در حالی که بازدهی بازارهای طلا و ارز رقم بالایی از رشد در این بازارها را نشان نمی‌دهد، اما بازار سرمایه هفته خوبی را پشت سر گذاشته است.,در هفته‌ای که سپری شد، شاخص کل بورس تهران بیش از 10 هزار واحد رشد کرد و با بازدهی 3/2 درصدی به پربازده‌ترین بازار هفته تبدیل شد.,آن‌طور که سازمان بورس و اوراق بهادار اعلام کرده است، این شاخص در پایان معاملات روز چهارشنبه هفته گذشته روی سطح 339 هزار واحدی قرار داشت اما با رشدی که در این هفته سپری کرد، خود را به سطح 350 هزار واحدی رساند.,در بازار فلزهای زرد رنگ نیز فاصله معناداری بین رشد طلای 18 عیار و سکه امامی دیده می‌شود، به عبارتی در حالی که سکه طرح جدید تنها 0/8 درصد رشد داشته، این رقم برای طلا تقریبا دو برابر است؛ یعنی طلا رشد 1/5 درصدی را از آن خود کرده است اما همچنان از بورس فاصله دارد.,با اقتباس از داده‌های شبکه اطلاع‌رسانی طلا، سکه و ارز، هر گرم طلا در پایان معاملات هفته سوم آذر ماه روی نرخ 449 هزار تومان معامله شده، اما در پایان هفته چهارم با رشد هفت هزار تومانی به رقم 456 هزار تومان رسیده است.,هر عدد سکه امامی نیز با 37 هزار تومان افزایش قیمت در طول این هفته به ارزش چهار میلیون و 483 هزار تومان رسید، در حالی که قیمت این فلز ارزشمند در هفته گذشته چهار میلیون و 446 هزار تومان بوده است.,تنها بازار متضرر هفته پایانی آذر ماه، بازار ارز است که بازدهی منفی 0.7 درصدی داشته است.,براساس نرخ‌های اعلامی صرافی ملی، قیمت هر عدد دلار آمریکا در پنجشنبه هفته گذشته 12 هزار و 950 تومان بوده که در این هفته با کمی فاصله گرفتن از کانال 13 هزار تومان، روی نرخ 12 هزار و 850 تومان شده است.","
آنالیز بازارها در هفته آخر آذر ماه / پیشتازی بورس در بازدهی / بازار ارز، تنها متضرر هفته",1
13981019,16:49:00,"به گزارش ,تجارت‌نیوز,، ,قیمت دلار, در بازار امروز تا ساعت ۱۶ با 0.1 درصد افزایش، 12 هزار و 956 تومان اعلام شده است.,قیمت طلا, گرمی 18 عیار در بازار آزاد امروز چهارشنبه ۱۱ دی ماه تا ساعت ۱۶ با دو هزار و 300 تومان کاهش به 474 هزار و 900 تومان رسید.,قیمت سکه امامی هم در بازار آزاد امروز چهارشنبه ۱۱ دی ماه تا ساعت ۱۶ با 21 هزار تومان کاهش به چهار میلیون و 634 هزار تومان رسید.,اما بورس امروز چه وضعیتی داشت؟,شاخص کل بورس در روز جاری با رشدی ۱٫۸۸ درصدی، بیش از هفته هزار پله رشد و در کانال ۳۸۴ هزار متوقف شد. شاخص کل هم وزن نیز در همین راستا ۱۵۱۸ واحد بالا رفت.,مهمترین اخبار امروز انتشار ,لیست جدید دریافت‌کنندگان ارز نیمایی و دولتی,، بررسی ,عملکرد بانک تجارت در آذر ماه 98،, ,فروش غیررسمی سهام عدالت,، ,مشکلات مردم در یارانه, معیشتی، ,بازدهی بزرگ‌ترین بورس‌های جهان در سال ۲۰۱۹, و ,فروش پژو ۲۰۰۸ با قیمت ۱۰۰ میلیون تومان, بود.,دومین مرحله یارانه معیشتی دیشب به حساب سرپرستان خانوار واریز شد؛ در این مرحله ۴۱۹ هزار و ۳۰۴ خانوار به لیست یارانه بگیران آذر ماه افزوده شده‌اند.,امروز همچنین رهبر انقلاب تاکید کردند: ما هرگز کشور را به سمت جنگ نمی‌بریم اما اگر دیگران بخواهند موضوعی را به این کشور تحمیل کنند، ما با قدرت تمام مقابل آنها می‌ایستیم.,امروز حسن روحانی، رئیس جمهور هم گفت: می‌گویند آماده مذاکره هستیم؛ اهلاً و سهلاً ما هم آماده مذاکره هستیم. به شرطی که به نقطه اول برگردیم و آنچه شکستید را اعلام کنید و بگویید «ما اشتباه کردیم» اگر هم به زبان نمی‌گویید در عمل بگویید «راه ما (آمریکا) اشتباه بوده» ما هم آماده هستیم با شما حرف بزنیم.","
فقط طلا گران نشد / دلار و بورس با هم رشد کردند / آخرین اخبار از یارانه معیشتی",3
